Biología,Órgano que bombea sangre:,pulmón,hígado,corazón,riñón,C,facil
Biología,Órgano principal respiratorio:,corazón,pulmón,estómago,hígado,B,facil
Biología,Vitaminas se obtienen de:,metales,alimentos,plásticos,luz,B,facil
Biología,Unidad básica de vida:,átomo,célula,tejido,órgano,B,facil
Biología,Sistema nervioso controla:,digestión,movimientos,respiración,pensamiento,B,medio
Biología,Sistema circulatorio incluye:,corazón y vasos,pulmones,estómago,riñones,A,facil
Biología,Seres autótrofos producen:,energía propia,oxígeno,agua,minerales,A,medio
Biología,Respiración celular ocurre en:,mitocondria,cloroplasto,núcleo,membrana,A,medio
Biología,Reproducción sexual requiere:,un individuo,dos gametos,división celular,fotosíntesis,B,medio
Biología,Proceso que convierte luz en energía:,respiración,fotosíntesis,digestión,excreción,B,medio
Biología,Los pulmones realizan:,digestión,respiración,circulación,excreción,B,facil
Biología,Los músculos permiten:,movimiento,respiración,luz,digestión,A,facil
Biología,Los huesos almacenan:,minerales,agua,aire,luz,A,medio
Biología,Los glóbulos rojos transportan:,CO2,oxígeno,agua,proteínas,B,medio
Biología,Los cromosomas contienen:,agua,ADN,proteínas,minerales,B,medio
Biología,Las plantas respiran mediante:,raíces,hojas,tallo,todas,D,medio
Biología,Las plantas realizan respiración en:,todas sus células,raíces solamente,hojas solamente,ninguna,A,dificil
Biología,Las plantas producen:,oxígeno,CO2,nitrógeno,metano,A,facil
Biología,Las neuronas transmiten:,impulsos nerviosos,oxígeno,energía,luz,A,medio
Biología,Las enzimas aceleran:,reacciones químicas,fotosíntesis,digestión,mitosis,A,medio
Biología,La sangre transporta:,oxígeno,luz,energía solar,metales,A,facil
Biología,La sangre contiene:,plasma y células,solo agua,solo proteínas,solo oxígeno,A,medio
Biología,La piel protege contra:,microorganismos,luz,oxígeno,aire,A,medio
Biología,La mitosis produce:,2 células iguales,4 células diferentes,1 célula nueva,esporas,A,medio
Biología,La meiosis produce:,2 células iguales,4 células haploides,1 célula,esporas,B,dificil
Biología,La meiosis ocurre en:,células reproductoras,neurona,músculo,sangre,A,dificil
Biología,La insulina regula:,azúcar en sangre,oxígeno,temperatura,luz,A,medio
Biología,La hormona adrenalina prepara al cuerpo para:,emergencia,dormir,comer,leer,A,medio
Biología,La fotosíntesis requiere:,luz,oxígeno,nitrógeno,calor,A,facil
Biología,La digestión inicia en:,boca,estómago,intestino,hígado,A,facil
Biología,La célula vegetal tiene:,pared celular,solo membrana,solo núcleo,ninguna,A,medio
Biología,La célula animal no tiene:,membrana,núcleo,pared celular,citoplasma,C,medio
Biología,La clorofila permite:,fotosíntesis,digestión,respiración,excreción,A,medio
Biología,El sistema respiratorio intercambia:,oxígeno y CO2,luz,energía,minerales,A,medio
Biología,El sistema nervioso central incluye:,cerebro y médula,estómago y corazón,pulmones,riñones,A,medio
Biología,El sistema digestivo procesa:,oxígeno,alimentos,luz,energía,B,facil
Biología,El estómago pertenece al sistema:,respiratorio,digestivo,nervioso,circulatorio,B,facil
Biología,El esqueleto protege:,piel,órganos,músculos,venas,B,facil
Biología,El esqueleto está formado por:,músculos,huesos,nervios,venas,B,facil
Biología,El corazón pertenece al sistema:,circulatorio,digestivo,respiratorio,nervioso,A,facil
Biología,El ADN se localiza en:,núcleo,membrana,mitocondria,pared,A,medio
Biología,El ADN contiene:,energía,información genética,oxígeno,nutrientes,B,medio
